Address,Annual Flow,Average Hours Per Week,City,Coal,Comments,District Cool,District Heat,Electricity,Emission Factor1,Emission Factor2,Energy Intensity (ekWh/Mega Litres),Energy Intensity (ekWh/sqft),Fuel Oil 1 & 2,Fuel Oil 4 & 6,GHG Emissions (Kg),Natural Gas,Operation Name,Operation Type,Postal Code,Propane,Renewable1,Renewable2,Total Floor Area,Unit1,Unit10,Unit2,Unit3,Unit4,Unit5,Unit6,Unit7,Unit8,Unit9,Wood,year
656 ELIZABETH ST,0.0,126,LONDON,,,,,"5,489.68912",,,0.00000,45.47180,,,"15,424.40994","8,040.62040",CARLING HEIGHTS OCC - SHED,Other,N5Y 6L3,,,,"2,000.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
654 ELIZABETH ST,0.0,126,LONDON,,,,,"941,291.61733",,,0.00000,54.11512,,,"237,401.43244","105,379.82370",CARLING HEIGHTS OCC,Community centres,N5Y 6L3,,,,"38,090.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
136 CAVENDISH CRES,0.0,70,LONDON,,,,,"3,794.98439",,,0.00000,4.46469,,,153.87903,,CAVENDISH OPS CTRE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N6H 1A6,,,,850.00,Square feet,,kWh,,,,,,,,,2015
550 WELLINGTON ST,0.0,70,LONDON,,,803.32000,,,,0.0,0.00000,1.35104,,,"2,741.82756",,CENTENNIAL HALL District Cooling,Auditoriums,N6A 3P9,,,No,"50,050.00",Square feet,Giga Joule,,,,,,,,,,2015
550 WELLINGTON ST,0.0,168,LONDON,,,,"1,970.00000","496,238.64584",0.00000,,0.00000,22.19538,,,"148,932.43149","6,343.57225",CENTENNIAL HALL,Auditoriums,N6A 3P9,,No,,"50,050.00",Square feet,,kWh,Cubic Meter,,,,,,Giga Joule,,2015
1 ADELAIDE ST S,40.49,126,LONDON,,,,,"47,363.85848",,,"1,169.76682",473.63858,,,"1,920.50973",,CHELSEA GREEN PUMP STN,Facilities related to the pumping of sewage,N5Z 3K2,,,,100.00,Square feet,,kWh,,,,,,,,,2015
300 DUFFERIN AVE,0.0,126,LONDON,,,"2,840.77000","7,025.45000","2,339,772.78266",0.00000,0.0,0.00000,25.88953,,,"521,166.11940",,CITY HALL,"Administrative offices and related facilities, including municipal council chambers",N6B 1Z2,,No,No,"174,990.00",Square feet,Giga Joule,kWh,,,,,,,Giga Joule,,2015
SEVERAL LOCATIONS,0.0,168,LONDON,,,,,"3,401.51435",,,0.00000,0.68030,,,137.92460,,CITY OWNED PROPERTIES,Other,N6B 1Z2,,,,"5,000.00",Square feet,,kWh,,,,,,,,,2015
1610 COMMISSIONERS RD E,0.0,126,LONDON,,,,,"170,491.54051",,,0.00000,33.63416,,,"6,913.09098",,CITY WIDE SPORTS PARK,Other,N6M 1E8,,,,"5,069.00",Square feet,,kWh,,,,,,,,,2015
625 SPRINGBANK DR,0.0,168,LONDON,,,,,"147,500.77759",,,0.00000,67.26177,,,"210,819.41310","108,344.24324",CIVIC GARDEN COMPLEX,Community centres,N6K 4T1,,,,"19,312.00",Square feet,,kWh,Cubic Meter,,,,,,,,2015
479 CLARKE RD,1465.95,168,LONDON,,,,,"247,710.71932",,,168.97624,81.48379,,,"10,044.17425",,CLARKE RD PUMP STN,Facilities related to the pumping of sewage,N5W 6H1,,,,"3,040.00",Square feet,,kWh,,,,,,,,,2015
75 HORTON ST,0.0,168,LONDON,,,,,"27,490.33771",,,0.00000,91.63446,,,"1,114.67821",,COAL TAR,Other,N6J 1E8,,,,300.00,Square feet,,kWh,,,,,,,,,2015
