Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Comments
COLBORNE BUILDING (OLD SOUTH ST HOSPITAL),Other,391 SOUTH STREET,LONDON,N6B 1B8,"26,225.00",Square feet,168,,"24,280.24000",kWh,,,,,,,,,,,,,"6,964.32000",Giga Joule,No,,,,,,"413,943.69634",74.69261,0.00000,
CRESTWOOD PUMP STN,Facilities related to the pumping of water,999 GABOR ST,LONDON,N6K4V5,0.00,Square feet,168,69.22000,"19,187.46483",kWh,,,,,,,,,,,,,,,,,,,,,767.70966,0.00000,277.19539,
DEARNESS HOME,Other,710 SOUTHDALE RD E,LONDON,N6E 1R8,"186,664.00",Square feet,168,,"3,840,337.57500",kWh,,,,,,,,,,,,,,,,,,,,,"153,655.74671",20.57353,0.00000,
DEARNESS NG TRANSP,Other,710 SOUTHDALE RD E,LONDON,N6E 1R8,"186,664.00",Square feet,168,,,,"685,755.71674",Cubic Meter,,,,,,,,,,,,,,,,,,,"1,296,508.27348",39.04373,0.00000,
DINGMAN CREEK PUMP STN,Facilities related to the pumping of sewage,3506 DINGMAN DR,LONDON,N6E 3X1,0.00,Square feet,168,0.12000,"183,627.81161",kWh,,,,,,,,,,,,,,,,,,,,,"7,347.13237",0.00000,"1,530,231.76342",
EAST LIONS ARTISANS CC  & POOL,Community centres,1731 CHURCHILL AVE,LONDON,N5W 5P4,"6,682.00",Square feet,126,0.00000,"106,399.36064",kWh,"23,572.07587",Cubic Meter,,,,,,,,,,,,,,,,,,,"48,823.14791",53.41486,0.00000,
EAST LIONS PARK-POOL,Other,1731 CHURCHILL AVE,LONDON,N5W 5P4,"3,700.00",Square feet,126,,34.28040,kWh,,,,,,,,,,,,,,,,,,,,,1.37159,0.00926,0.00000,
EAST PARK PUMP STN,Facilities related to the pumping of sewage,1313 HAMILTON RD,LONDON,N5W 1B1,0.00,Square feet,168,527.92000,"88,974.08257",kWh,,,,,,,,,,,,,,,,,,,,,"3,559.94202",0.00000,168.53706,
ED BLAKE PK,Other,449 BARKER ST,LONDON,N5Y 5B2,"1,045.00",Square feet,168,,"5,228.15352",kWh,,,,,,,,,,,,,,,,,,,,,209.18365,5.00302,0.00000,
ENVIRO PROGS - RENTAL,"Administrative offices and related facilities, including municipal council chambers","520 WELLINGTON ST UN 1,2,3",LONDON,N6A 3R2,"2,819.00",Square feet,60,,"25,844.93435",kWh,,,,,,,,,,,,,,,,,,,,,"1,034.08167",9.16812,0.00000,
EP WILLIAMS ESTATE,Cultural facilities,101 WINDERMERE RD,LONDON,N6G 2J4,"9,330.00",Square feet,126,,"20,160.04562",kWh,"15,848.97996",Cubic Meter,,,,,,,,,,,,,,,,,,,"30,771.13301",20.21431,0.00000,
