Address,Annual Flow,Average Hours Per Week,City,Coal,Comments,District Cool,District Heat,Electricity,Emission Factor1,Emission Factor2,Energy Intensity (ekWh/Mega Litres),Energy Intensity (ekWh/sqft),Fuel Oil 1 & 2,Fuel Oil 4 & 6,GHG Emissions (Kg),Natural Gas,Notes,Operation Name,Operation Type,Postal Code,Propane,Renewable1,Renewable2,Total Floor Area,Unit1,Unit10,Unit2,Unit3,Unit4,Unit5,Unit6,Unit7,Unit8,Unit9,Wood,full_address,geocode,lat,lng,year
1308 NORMAN AVE,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.29409,0.0,0.0,80.80811,0.0,,BYRON CC-TENNIS COURTS,Community centres,N6K 2A3,0.0,0.0,0.0,0.0,Square feet,,kWh,,,,,,,,0.0,,,42.9571509,-81.3361288,2015
1322 OLD BRIDGE RD,1537.2,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,129.65093000000002,369.07297,0.0,0.0,0.0,0.0,,BYRON PUMP STN,Facilities related to the pumping of sewage,N6K 1Y2,0.0,0.0,0.0,540.0,Square feet,,kWh,,,,,,,,0.0,,,,,2015
380 DUNDAS ST,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.62056,0.0,0.0,50.32509,0.0,,CAMPBELL MEMORIAL PARK,Other,N6B 1V7,0.0,0.0,0.0,0.0,Square feet,,kWh,,,,,,,,0.0,,,42.9863589580645,-81.2407877451613,2015
1045 WONDERLAND RD N,0.0,126,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,70.80963,0.0,0.0,0.0,0.0,,CANADA GAMES AQUATIC CTR,Indoor swimming pools,N6G 2Y9,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,43.0028073343031,-81.30254588682091,2015
675 GROSVENOR ST,0.0,126,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,36.514070000000004,0.0,0.0,0.0,0.0,,CARLING ARENA,Indoor ice rinks,N5Y 3T5,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,43.005562,-81.23405600000002,2015
656 ELIZABETH ST,0.0,126,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,45.4718,0.0,0.0,0.0,0.0,,CARLING HEIGHTS OCC - SHED,Other,N5Y 6L3,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,42.9987718,-81.233576,2015
654 ELIZABETH ST,0.0,126,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,54.11512,0.0,0.0,0.0,0.0,,CARLING HEIGHTS OCC,Community centres,N5Y 6L3,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,42.9987718,-81.233576,2015
136 CAVENDISH CRES,0.0,70,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.46469,0.0,0.0,153.87903,0.0,,CAVENDISH OPS CTRE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N6H 1A6,0.0,0.0,0.0,850.0,Square feet,,kWh,,,,,,,,0.0,,,42.980429724864294,-81.2671149869268,2015
550 WELLINGTON ST,0.0,70,LONDON,0.0,,803.32,0.0,0.0,0.0,0.0,0.0,1.35104,0.0,0.0,0.0,0.0,,CENTENNIAL HALL District Cooling,Auditoriums,N6A 3P9,0.0,0.0,0.0,0.0,Square feet,Giga Joule,,,,,,,,,0.0,,,42.9892119,-81.24660554163279,2015
550 WELLINGTON ST,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22.19538,0.0,0.0,0.0,0.0,,CENTENNIAL HALL,Auditoriums,N6A 3P9,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,Giga Joule,0.0,,,42.9892119,-81.24660554163279,2015
1 ADELAIDE ST S,40.49,126,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,473.63858,0.0,0.0,0.0,0.0,,CHELSEA GREEN PUMP STN,Facilities related to the pumping of sewage,N5Z 3K2,0.0,0.0,0.0,100.0,Square feet,,kWh,,,,,,,,0.0,,,42.974344,-81.22550290000002,2015
300 DUFFERIN AVE,0.0,126,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,25.88953,0.0,0.0,0.0,0.0,,CITY HALL,"Administrative offices and related facilities, including municipal council chambers",N6B 1Z2,0.0,0.0,0.0,0.0,Square feet,Giga Joule,kWh,,,,,,,Giga Joule,0.0,,,42.9877504,-81.2464214,2015
SEVERAL LOCATIONS,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.6803,0.0,0.0,137.9246,0.0,,CITY OWNED PROPERTIES,Other,N6B 1Z2,0.0,0.0,0.0,0.0,Square feet,,kWh,,,,,,,,0.0,,,,,2015
1610 COMMISSIONERS RD E,0.0,126,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,33.634159999999994,0.0,0.0,0.0,0.0,,CITY WIDE SPORTS PARK,Other,N6M 1E8,0.0,0.0,0.0,0.0,Square feet,,kWh,,,,,,,,0.0,,,42.9631478928486,-81.1694038627425,2015
