Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Notes,full_address,geocode,lat,lng
T-BLOCK,"Administrative offices and related facilities, including municipal council chambers",652 ELIZABETH ST,London,N5Y 4T7,,Square feet,70,,,kWh,,Cubic meter,,,,,,,,,,,,,,,,,,,,25.85686,,,"652 ELIZABETH ST, London Ontario","{""lat"": 42.9987718, ""lng"": -81.233576, ""boundingbox"": [""42.9968781"", ""43.0009149"", ""-81.2346405"", ""-81.2326457""]}",42.9987718,-81.233576
THAMES VALLEY-SOUTHLDN POOL,Indoor swimming pools,565 BRADLEY AVE,London,N6E 3Z8,,Square feet,126,,,kWh,,Cubic meter,,,,,,,,,,,,,,,,,,,,103.63678,,,"565 BRADLEY AVE, London Ontario","{""lat"": 42.9341639, ""lng"": -81.2362539, ""boundingbox"": [""42.9341139"", ""42.9342139"", ""-81.2363039"", ""-81.2362039""]}",42.934163899999994,-81.23625390000001
TOURISM LONDON,"Administrative offices and related facilities, including municipal council chambers",696 WELLINGTON RD,London,N6C 4R2,,Square feet,70,,,kWh,,Cubic meter,,,,,,,,,,,,,,,,,,,,39.518390000000004,,,"696 WELLINGTON RD, London Ontario","{""lat"": 42.94773575, ""lng"": -81.2269444506159, ""boundingbox"": [""42.9476002"", ""42.9478323"", ""-81.2271111"", ""-81.2267434""]}",42.94773575,-81.2269444506159
TRAFALGAR PUMP STN,Facilities related to the pumping of sewage,2264 TRAFALGAR ST,London,N5V 4Z8,,Square feet,168,802.0,,kWh,,,,,,,,,,,,,,,,,,,,,,78.45784,156.52436,,"2264 TRAFALGAR ST, London Ontario","{""lat"": 42.9829737, ""lng"": -81.2031709, ""boundingbox"": [""42.9819521"", ""42.9841859"", ""-81.2068133"", ""-81.1990368""]}",42.9829737,-81.2031709
VAUXHALL PCP,Facilities related to the treatment of sewage,54 PRICE ST,London,N5Z 2H9,0.0,Square feet,168,8742.0,,kWh,,Cubic meter,,,,,,,,,,,,,,,,,,,,,392.09711,,"54 PRICE ST, London Ontario","{""lat"": 42.9756733084415, ""lng"": -81.2073481708143, ""boundingbox"": [""42.975623308441"", ""42.975723308442"", ""-81.207398170814"", ""-81.207298170814""]}",42.97567330844149,-81.2073481708143
VICTORIA PUMP STN,Facilities related to the pumping of sewage,27 VICTORIA ST,London,N6A 2B3,0.0,Square feet,168,28.0,,kWh,,,,,,,,,,,,,,,,,,,,,681.9976,,304.46321,,"27 VICTORIA ST, London Ontario","{""lat"": 43.0010093, ""lng"": -81.2672495, ""boundingbox"": [""43.0004336"", ""43.0016519"", ""-81.269253"", ""-81.264919""]}",43.0010093,-81.2672495
WESTFIELD VILLAGE PUMP STN,Facilities related to the pumping of sewage,3129 POMEROY LN,London,N6P 0B6,0.0,Square feet,168,33.0,,kWh,,,,,,,,,,,,,,,,,,,,,509.6248,,193.0397,,"3129 POMEROY LN, London Ontario","{""lat"": 42.936817, ""lng"": -81.3114316, ""boundingbox"": [""42.9367326"", ""42.9368664"", ""-81.3115174"", ""-81.311371""]}",42.936817,-81.3114316
WESTMINSTER POLLUTION PLANT,Facilities related to the pumping of sewage,3225 DINGMAN DR,London,N6E 3W9,944.0,Square feet,168,590.0,,kWh,,,,,,,,,,,,,,,,,,,,,,80.61797,128.98875,,"3225 DINGMAN DR, London Ontario","{""lat"": 42.9134040667762, ""lng"": -81.2163056844453, ""boundingbox"": [""42.913354066776"", ""42.913454066776"", ""-81.216355684445"", ""-81.216255684445""]}",42.9134040667762,-81.2163056844453
WESTMOUNT PUMP STN,Facilities related to the pumping of water,603 WONDERLAND RD S,London,N6J 4G7,,Square feet,168,1214.598,,kWh,,,,,,,,,,,,,,,,,,,,,,73.82204,81.13995,Water Pumping Station - Metered,"603 WONDERLAND RD S, London Ontario","{""lat"": 42.9538612727273, ""lng"": -81.2908736948052, ""boundingbox"": [""42.953811272727"", ""42.953911272727"", ""-81.290923694805"", ""-81.290823694805""]}",42.9538612727273,-81.2908736948052
WICKERSON PUMP STN,Facilities related to the pumping of water,2080 WICKERSON RD,London,N6K 5C4,,Square feet,168,217.685,,kWh,,,,,,,,,,,,,,,,,,,,,,95.35388,490.60035999999997,Water Pumping Station - Metered,"2080 WICKERSON RD, London Ontario","{""lat"": 42.9491795080899, ""lng"": -81.3503068588759, ""boundingbox"": [""42.94912950809"", ""42.94922950809"", ""-81.350356858876"", ""-81.350256858876""]}",42.9491795080899,-81.35030685887591
WILTON GROVE STORAGE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1554 WILTON GROVE,London,N6N 1M4,,Square feet,70,,,kWh,,Cubic meter,,,,,,,,,,,,,,,,,,,,3.7790199999999996,,,"1554 WILTON GROVE, London Ontario","{""lat"": 42.9344818, ""lng"": -81.2082381, ""boundingbox"": [""42.9344318"", ""42.9345318"", ""-81.2082881"", ""-81.2081881""]}",42.9344818,-81.20823809999999
WONDERLAND PUMP STN,Facilities related to the pumping of sewage,4695 DINGMAN DR,London,N6L 1H4,0.0,Square feet,168,1430.46,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,"4695 DINGMAN DR, London Ontario","{""lat"": 42.9092062899543, ""lng"": -81.2643052471073, ""boundingbox"": [""42.909156289954"", ""42.909256289954"", ""-81.264355247107"", ""-81.264255247107""]}",42.9092062899543,-81.2643052471073
WONDERLAND RD S PUMP STN WSTM,Facilities related to the pumping of water,603 WONDERLAND RD S,London,N6H 3E5,,Square feet,168,9623.97,,kWh,,,,,,,,,,,,,,,,,,,,,,299.64994,38.110209999999995,Duplicate from Line 116 above,"603 WONDERLAND RD S, London Ontario","{""lat"": 42.9538612727273, ""lng"": -81.2908736948052, ""boundingbox"": [""42.953811272727"", ""42.953911272727"", ""-81.290923694805"", ""-81.290823694805""]}",42.9538612727273,-81.2908736948052
