Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Notes,full_address,geocode,lat,lng
CAVENDISH OPS CTRE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",136 CAVENDISH CRES,London,N6H 1A6,850.00,Square feet,168,,"25,234.55",kWh,"2,836.24",Cubic meter,,,,,,,,,,,,,,,,,,,"7,381.03592",65.14997,,,"136 CAVENDISH CRES, London Ontario","{""lat"": 42.9804297248643, ""lng"": -81.2671149869268, ""boundingbox"": [""42.980379724864"", ""42.980479724864"", ""-81.267164986927"", ""-81.267064986927""]}",42.9804297248643,-81.2671149869268
CENTENNIAL HALL,Auditoriums,550 WELLINGTON ST,London,N6A 3P9,"50,050.00",Square feet,70,,"738,705.92",kWh,,,,,,,,,,,,,"1,652.29000",Giga Joule - steam or hot water,No,,"2,478.76000",Giga Joule - chilled water,No,,"184,798.10306",28.0983,,,"550 WELLINGTON ST, London Ontario","{""lat"": 42.9892119, ""lng"": -81.2466055416328, ""boundingbox"": [""42.9889443"", ""42.9894859"", ""-81.2470292"", ""-81.2461804""]}",42.9892119,-81.2466055416328
CHELSEA GREEN PUMP STN,Facilities related to the pumping of sewage,1 ADELAIDE ST S,London,N5Z 3K2,100.00,Square feet,168,1339.931,"59,737.27",kWh,,,,,,,,,,,,,,,,,,,,,"4,778.98160",597.3727,44.58235,,"1 ADELAIDE ST S, London Ontario","{""lat"": 42.974344, ""lng"": -81.2255029, ""boundingbox"": [""42.974294"", ""42.974394"", ""-81.2255529"", ""-81.2254529""]}",42.974344,-81.2255029
CITY HALL,"Administrative offices and related facilities, including municipal council chambers",300 DUFFERIN AVE,London,N6B 1Z2,"174,990.00",Square feet,126,,"2,809,869.30",kWh,,,,,,,,,,,,,"7,023.13000",Giga Joule - steam or hot water,No,,"3,786.64000",Giga Joule - chilled water,No,,"684,584.68386",29.02714000000001,,,"300 DUFFERIN AVE, London Ontario","{""lat"": 42.9877504, ""lng"": -81.2464214, ""boundingbox"": [""42.9877004"", ""42.9878004"", ""-81.2464714"", ""-81.2463714""]}",42.9877504,-81.2464214
CIVIC GARDEN COMPLEX,Community centres,625 SPRINGBANK DR,London,N6K 4T1,"19,312.00",Square feet,126,,"154,386.29",kWh,"94,136.00",Cubic meter,,,,,,,,,,,,,,,,,,,"190,326.96647",59.79923,,,"625 SPRINGBANK DR, London Ontario","{""lat"": 42.9625799714286, ""lng"": -81.2954907035714, ""boundingbox"": [""42.962529971429"", ""42.962629971429"", ""-81.295540703571"", ""-81.295440703571""]}",42.9625799714286,-81.2954907035714
CLARKE RD PUMP STN,Facilities related to the pumping of sewage,479 CLARKE RD,London,N5W 6H1,"3,040.00",Square feet,168,1808.0,"218,089.36",kWh,,,,,,,,,,,,,,,,,,,,,"17,447.14880",71.73992,120.62465,,"479 CLARKE RD, London Ontario","{""lat"": 43.041672, ""lng"": -81.1945997, ""boundingbox"": [""43.0412473"", ""43.0422883"", ""-81.1949156"", ""-81.1943904""]}",43.041672,-81.1945997
CRESTWOOD PUMP STN,Facilities related to the pumping of sewage,999 GABOR ST,London,N6K 4V5,0.00,Square feet,168,73.0,"20,027.96",kWh,,,,,,,,,,,,,,,,,,,,,"1,602.23680",,274.35562,,"999 GABOR ST, London Ontario","{""lat"": 42.9424868346154, ""lng"": -81.3113104961539, ""boundingbox"": [""42.942436834615"", ""42.942536834615"", ""-81.311360496154"", ""-81.311260496154""]}",42.9424868346154,-81.3113104961539
DINGMAN CREEK PUMP STN,Facilities related to the pumping of sewage,3506 DINGMAN DR,London,N6E 3X1,"3,140.00",Square feet,168,174.49099999999999,"180,912.81",kWh,,,,,,,,,,,,,,,,,,,,,"14,473.02480",57.61554,"1,036.80310",Bypass Pumps,"3506 DINGMAN DR, London Ontario","{""lat"": 42.9127292472928, ""lng"": -81.2268277997608, ""boundingbox"": [""42.912679247293"", ""42.912779247293"", ""-81.226877799761"", ""-81.226777799761""]}",42.9127292472928,-81.2268277997608
EAST LIONS ARTISANS CC  & POOL,Community centres,1731 CHURCHILL AVE,London,N5W 5P4,"6,682.00",Square feet,126,,"126,246.59",kWh,"30,066.40",Cubic meter,,,,,,,,,,,,,,,,,,,"66,944.07483",66.71439000000001,,,"1731 CHURCHILL AVE, London Ontario","{""lat"": 42.9997093, ""lng"": -81.1765764, ""boundingbox"": [""42.9993866"", ""43.0005438"", ""-81.1776924"", ""-81.1736652""]}",42.9997093,-81.1765764
EAST PARK PUMP STN,Facilities related to the pumping of sewage,1313 HAMILTON RD,London,N5W 1B1,"2,340.00",Square feet,168,570.62,"86,561.24",kWh,,,,,,,,,,,,,,,,,,,,,"6,924.89920",36.99198,151.69682,,"1313 HAMILTON RD, London Ontario","{""lat"": 42.96536, ""lng"": -81.1441235, ""boundingbox"": [""42.9639102"", ""42.9683807"", ""-81.1499604"", ""-81.1406169""]}",42.96536,-81.1441235
