Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Comments
NORTH LONDON OCC,Community centres,1345 CHEAPSIDE ST,LONDON,N5V 3N9,"55,200.00",Square feet,168,0.00000,"589,924.91049",kWh,"52,547.00351",Cubic Meter,,,,,,,,,,,,,,,,,,,"120,317.43433",20.80404,0.00000,
NORTHEAST RECREATION CENTRE-POOL,Other,1050 VICTORIA,LONDON,N5Y 1L2,"1,690.00",Square feet,168,0.00000,"28,631.43561",kWh,"6,980.20900",Cubic Meter,,,,,,,,,,,,,,,,,,,"14,214.76187",60.83760,0.00000,
NORTHRIDGE POOL,Other,15 MCLEAN DR,LONDON,N5X 1Y3,"1,540.00",Square feet,168,0.00000,"17,958.84483",kWh,,,,,,,,,,,,,,,,,,,,,638.40102,11.66159,0.00000,
NORTHRIDGE PUMP STN,Facilities related to the pumping of sewage,19 1/2 BENSON CRES,LONDON,N5X 2B1,300.00,Square feet,168,197.07000,"26,825.66495",kWh,,,,,,,,,,,,,,,,,,,,,953.59874,89.41888,136.12252,
OAKRDG PK-FLDHS-WADDING PL,Other,825 VALETTA ST,LONDON,N6H 2Z2,"1,420.00",Square feet,126,0.00000,"4,471.98440",kWh,,,,,,,,,,,,,,,,,,,,,158.97010,3.14928,0.00000,
OAKRIDGE ARENA-SPL PAD-POOL,Indoor ice rinks,825 VALETTA,LONDON,N6H 2Z2,"29,989.00",Square feet,126,0.00000,"391,897.00000",kWh,"38,816.00000",Cubic Meter,,,,,,,,,,,,,,,,,,,"87,317.73219",26.82400,0.00000,
OXFORD ENVIRO DEPOT,Other,1450 OXFORD ST W,LONDON,N6H 1W2,"1,000.00",Square feet,80,0.00000,"154,596.00000",kWh,,,,,,,,,,,,,,,,,,,,,"5,495.57861",154.59600,0.00000,
OXFORD OPS CTRE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1570 OXFORD ST W,LONDON,N6H 1W2,"6,765.00",Square feet,168,0.00000,,,"19,289.93694",Cubic Meter,,,,,,,,,,,,,,,,,,,"36,470.07561",30.30438,0.00000,
OXFORD PCP,Facilities related to the treatment of sewage,1570 OXFORD ST W,LONDON,N6H 1W2,"6,255.00",Square feet,168,3434.00000,"2,805,754.93548",kWh,,,,,,,,,,,,,,,,,,,,,"99,738.97645",448.56194,817.05152,
OXFORD ST W SALT SHED,Other,1570 OXFORD ST W,LONDON,N6H 1W2,"16,946.00",Square feet,168,0.00000,"47,204.75734",kWh,,,,,,,,,,,,,,,,,,,,,"1,678.03471",2.78560,0.00000,
PAARDEBURG PUMP STN,Facilities related to the pumping of sewage,31 1/2 PAARDEBURG CRES,LONDON,N5Y 1B9,100.00,Square feet,168,56.88000,"14,321.00000",kWh,,,,,,,,,,,,,,,,,,,,,509.08291,143.21000,251.77567,
PITCARNIE PUMP STN,Facilities related to the pumping of sewage,58 PITCARNIE CRES,LONDON,N6G 4N3,100.00,Square feet,168,73.30000,"6,366.87394",kWh,,,,,,,,,,,,,,,,,,,,,226.32963,63.66874,86.86049,
PLANNING/DEV - RENTAL,Other,520 WELLINGTON ST UN 11 &12,LONDON,N6A 4L9,"2,819.00",Square feet,168,0.00000,"41,627.00000",kWh,,,,,,,,,,,,,,,,,,,,,"1,479.75660",14.76658,0.00000,
POND MILLS PUMP STN 1,Facilities related to the pumping of water,1121 COMMISSIONERS RD E,LONDON,N5Z 4L9,"1,020.00",Square feet,168,1526.20000,"358,800.00000",kWh,,,,,,,,,,,,,,,,,,,,,"12,754.62240",351.76471,235.09370,
POND MILLS PUMP STN,Facilities related to the pumping of sewage,1121 COMMISSIONERS RD E,LONDON,N5Z 4L9,"1,020.00",Square feet,168,345.71000,"47,145.69469",kWh,,,,,,,,,,,,,,,,,,,,,"1,675.93515",46.22127,136.37353,
POTTERSBURG PCP,Facilities related to the pumping of water,1139 HAMILTON RD,LONDON,N5W 1B1,"11,930.00",Square feet,70,9362.25000,"4,628,082.30968",kWh,"64,734.61380",Cubic Meter,,,,,,,,,,,,,,,,,,,"286,908.07862",445.60497,567.81942,
PROVINCIAL OFFENCE ACT OFFICES,"Administrative offices and related facilities, including municipal council chambers",824 DUNDAS ST,LONDON,N5W 5R1,"22,690.00",Square feet,168,0.00000,"316,440.00000",kWh,"25,643.88416",Cubic Meter,,,,,,,,,,,,,,,,,,,"59,731.82890",25.95758,0.00000,
RIVER BEND PUMP STN,Facilities related to the pumping of water,2120 KAINS RD,LONDON,N6K 0C1,"3,800.00",Square feet,168,259.09000,"187,097.64273",kWh,,,,,,,,,,,,,,,,,,,,,"6,650.94700",49.23622,722.13379,
RIVER RD GOLF COURSE-MAIN CLUBHOUSE,Other,2115 RIVER RD,LONDON,N5W 6C4,"4,500.00",Square feet,168,0.00000,"71,678.74705",kWh,"5,737.56802",Cubic Meter,,,,,,,,,,,,,,,,,,,"13,395.63712",29.47919,0.00000,
RIVER RD GOLF COURSE-MTCE BLDG,Other,2115 RIVER RD,LONDON,N5W 6C4,"2,400.00",Square feet,70,0.00000,"9,114.08287",kWh,,,,,,,,,,,,,,,,,,,,,323.98742,3.79753,0.00000,
ROSE GARDEN - OFFICE/STORAGE,Other,645 SPRINGBANK DR,LONDON,N6K 4T1,"6,240.00",Square feet,168,0.00000,"48,585.50468",kWh,"7,711.89700",Cubic Meter,,,,,,,,,,,,,,,,,,,"16,307.43821",20.92081,0.00000,
ROWNTREE PARK SPLASH PAD,Other,750 WHETTER AVE,LONDON,N6C 2C3,896.00,Square feet,168,0.00000,"1,200.14504",kWh,,,,,,,,,,,,,,,,,,,,,42.66276,1.33945,0.00000,
SANDFORD PUMP STN,Facilities related to the pumping of sewage,1251 SANDFORD,LONDON,N5V 3Y1,100.00,Square feet,168,136.48000,"26,608.91680",kWh,,,,,,,,,,,,,,,,,,,,,945.89377,266.08917,194.96569,
